ID,店名,料理標籤,星級評分,營業時間,店家電話,地址,Google Map 網址,特約優惠,關鍵詞,介紹,座標,
15,晨食司控,早餐店,4.5,07:00-15:00,無,大仁街36號,"https://www.google.com/maps/place/%E6%99%A8%E9%A3%9F%E5%8F%B8%E6%8E%A7%2F%E4%B8%AD%E5%A3%A2%E7%BE%8E%E9%A3%9F%2F%E9%A4%90%E5%BB%B3%2F%E6%97%A9%E5%8D%88%E9%A4%90%2F%E5%90%90%E5%8F%B8%E7%9B%92%E5%B0%88%E8%B3%A3%2F%E6%A1%83%E5%9C%92%E7%BE%8E%E9%A3%9F%E6%8E%A8%E8%96%A6/@24.9563904,121.2408746,17z/data=!3m1!4b1!4m6!3m5!1s0x3468235ff610cf3d:0x8a01d29147d4385f!8m2!3d24.9563904!4d121.2408746!16s%2Fg%2F11fn9dv25n?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",團隊訂購主餐吐司搭配飲品，滿二十組送一組,吐司、早餐、早午餐,熱門IG打卡美食，料多到滿出來的韓系吐司盒子，好吃又好拍。外酥內軟的丹麥吐司，搭配滿滿內餡。,"24.956531442518052, 121.24165780499331",
16,亞米秀義式坊 原街坊117,義式,4.5,10:50-21:30(週二公休),03-438-1999,中北路117號,"https://www.google.com/maps/place/%E4%BA%9E%E7%B1%B3%E7%A7%80%E7%BE%A9%E5%BC%8F%E5%9D%8A+%E5%8E%9F%E8%A1%97%E5%9D%8A117/@24.9567749,121.238478,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e35ccdb3d:0x4d939818dd1386f6!8m2!3d24.9567749!4d121.238478!16s%2Fg%2F11c32pn1yk?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.來店出示學生證或教職員證，消費兩個主餐以上送任選30元飲品擇一 2.來店出示學生證或教職員證，來店消費四個主餐以上送任選45元飲品擇一,義大利麵、燉飯、焗烤、義式、午餐、晚餐,披薩有滿滿的起司流淌，賣相誘人。義大利麵可選直麵或螺旋麵。焗烤給了大量的起司，看起來十分過癮。以起司為名的餐點，起司都給得不手軟。,"24.956945123176883, 121.23961525656561",
17,阿尼基美式餐廳 ,美式,4.5,11:30-20:30,0966-787-543,大仁二街13號,"https://www.google.com/maps/place/%E9%98%BF%E5%B0%BC%E5%9F%BA%E7%BE%8E%E5%BC%8F%E9%A4%90%E5%BB%B3+%E4%B8%AD%E5%A3%A2%E5%BA%97%EF%BC%88%E6%9C%80%E5%BE%8C%E5%87%BA%E9%A4%90%E6%99%82%E9%96%9319:30/@24.9546169,121.242425,17z/data=!4m15!1m8!3m7!1s0x34682214e297e491:0x274fceb79c7999d!2z6Zi_5bC85Z-6576O5byP6aSQ5buzIOS4reWjouW6l--8iOacgOW-jOWHuumkkOaZgumWkzE5OjMw!8m2!3d24.9546169!4d121.242425!10e2!16s%2Fg%2F11bwm6xvfk!3m5!1s0x34682214e297e491:0x274fceb79c7999d!8m2!3d24.9546169!4d121.242425!16s%2Fg%2F11bwm6xvfk?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",全品項89折優惠，優惠不得與其他活動併用,漢堡、義大利麵、炸物、午餐、晚餐,在地深耕已超過10年依舊屹立不搖，不定時舉辦大胃王比賽會吸引滿多YOUTUBER前來。選擇豐富，除了主推的漢堡之外，還有開胃菜、沙拉、義大利麵、燉飯、飲品。,"24.954835762163196, 121.24263957671049",
18,大嗑蔬菜蛋餅,早餐店,4.1,07:00-14:30,0979-700-138,弘揚路71號,https://maps.app.goo.gl/1xYqJNjtVTgDxqVs6,來店用餐點選炸物或蔬菜套餐可免費升級大杯紅茶,蛋餅、漢堡、早餐、午餐,主打現點現煎口感酥脆的大份量鐵鍋起司蔬菜蛋餅，蛋餅口味選擇多，價格落在60元到95元之間，除了蛋餅之外，其他還有鐵板煎吐司、花生醬沙拉漢堡、香蔥捲餅以及炒麵。,"24.953846382043128, 121.2416219687631",
19,漢城韓式料理 ,韓式,4.2,11:00-21:00(週三、四、六公休),03-438-7922,實踐路225-25號,"https://www.google.com/maps/place/%E6%BC%A2%E5%9F%8E%E9%9F%93%E5%BC%8F%E6%96%99%E7%90%86+%EF%BD%9C%E6%AF%8F%E9%80%B1%E5%9B%9B%E3%80%81%E9%80%B1%E5%85%AD%E5%BA%97%E4%BC%91/@24.957473,121.2387143,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e3c4c0edb:0x457e8d66658b353b!8m2!3d24.957473!4d121.2387143!16s%2Fg%2F1tjgy2z1?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.出示學生證，送韓式小菜 2.四人以上烤肉吃到飽送石鍋拌飯,韓式、拌飯、鍋物、麵、年糕、午餐、晚餐,餐點有飯類、麵類、鍋類、其他和烤肉類，麵飯類和鍋類的價格落在100元到150元之間。這裡也有提供烤肉無限量吃到飽，價格為269元/每人。店內有提供海帶湯和飲料喝到飽,"24.957740491941223, 121.23994811608533",
20,麻浦園,韓式,4.4,"11:30-14:00, 17:00-20:30(週二公休)",03-436-2487,實踐路225之22號,"https://www.google.com/maps/place/%E9%BA%BB%E6%B5%A6%E5%9C%92%EF%BC%88%E9%80%B1%E4%BA%8C%E5%BA%97%E4%BC%91%EF%BC%89/@24.9573901,121.2385568,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e3da2afaf:0x9aed7f2fea584198!8m2!3d24.9573901!4d121.2385568!16s%2Fg%2F1tk1kqv8?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",出示證件折10元,韓式、拌飯、鍋物、麵、烏龍麵、年糕、午餐、晚餐,單價平民，飲料無限供應，推燒肉飯、麻浦定食、部隊鍋（單人的）。五花肉套餐，附上小菜跟小的鍋類可以吃超飽的。,"24.95757004930924, 121.23931854732223",
21,韓雞飢韓式炸雞專門店,韓式,3.3,11:30-03:00,0916-678-934,實踐路130號,"https://www.google.com/maps/place/%E9%9F%93%E9%9B%9E%E9%A3%A2%E9%9F%93%E5%BC%8F%E7%82%B8%E9%9B%9E%E5%B0%88%E9%96%80%E5%BA%97-%E4%B8%AD%E5%8E%9F%E5%A4%9C%E5%B8%82%E7%B8%BD%E5%BA%97/@24.9562685,121.2400499,17z/data=!3m1!4b1!4m6!3m5!1s0x3468232f098442c9:0x82672412fc00ec85!8m2!3d24.9562685!4d121.2400499!16s%2Fg%2F11h71gzm37?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",凡至店內消費130元以上餐點，於IG限時動態上標註韓雞肌中原店，可折10元（每則限動折乙份）。,炸雞、韓式炸雞、年糕、韓式,店家賣無骨雞腿肉、帶骨雞翅、小棒腿、炸年糕、起司拉麵年糕、拉麵年糕、起司年糕和辣炒年糕。特色為起司給量不手軟。,"24.956594356930133, 121.24032884972362",
22,粉紅蛙仙草奶凍之家,甜品,4.5,週二、三、四14:30-22:30，週五、六、日15:30-22:30(週一公休),03-466-8059,力行北街127號1樓,"https://www.google.com/maps/place/%E7%B2%89%E7%B4%85%E8%9B%99%E4%BB%99%E8%8D%89%E5%A5%B6%E5%87%8D%E4%B9%8B%E5%AE%B6/@24.955983,121.2380408,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223fb9e21b23:0x199db8f078cd82ad!8m2!3d24.955983!4d121.2380408!16s%2Fg%2F1tjcm5z9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","凡出示學生證、教職員證即可享特約優惠～
​
|頂級霜淇淋折10元（每一證限購一支）
|帝王仙草奶凍折10元（每一證限購一杯）
|黑糖剉冰（自選4種料）折5元（每一證限購一碗）
|冰熱純濃紅豆湯折5元（每一證限購一碗）
|桂冠大湯圓甜湯（每碗有5顆桂冠大湯圓）折5元（每一證限購一碗）
！冬至元宵當日恕不折扣！",冰品、甜點、水果汁，飲料、豆花、仙草凍、湯圓,"店家主打的飲品＆甜品是：綜合仙草凍和帝王仙草奶凍。品項除了仙草奶凍系列外，
還有剉冰、豆花類、粉圓類、水果茶類、果汁類...等，選擇相當相當多，價位則是一般庶民冰店的價格。","24.956182405551907, 121.2384484957499",
23,孫東寶台式牛排教父 中壢日新店,台式,4,11:00-22:30,03-438-0102,日新路31號,"https://www.google.com/maps/place/%E5%AD%AB%E6%9D%B1%E5%AF%B6%E5%8F%B0%E5%BC%8F%E7%89%9B%E6%8E%92%E6%95%99%E7%88%B6+%E4%B8%AD%E5%A3%A2%E6%97%A5%E6%96%B0%E5%BA%97/@24.9543599,121.2387011,17z/data=!3m1!4b1!4m6!3m5!1s0x3468237c392b4175:0x791b49cc543c3dd7!8m2!3d24.9543599!4d121.2387011!16s%2Fg%2F11h0lr3ymg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",消費滿300元送炸物二選一（雞塊、薯條）或餐包兩顆，滿600送兩份，滿900元送三份，以此類推。,牛排、午餐、晚餐,品項有牛排、豬排、魚排、雞排、雙拼、鐵板麵和加點（冰淇淋、可樂和炸薯條等）等，選擇多內用飲料（紅茶與柳橙汁）無限暢飲，玉米濃湯可以喝到飽，濃湯相當濃稠。,"24.95453985373824, 121.23934483013149",
24,肉次方 燒肉放題 中壢元化店,日式,4.9,週一、二、三、四11:00-23:30，週五、六11:00-01:00，週日11:00-00:30,03-433-1767,元化路245號2樓,https://www.google.com/maps?cid=5891219085408729371,至門店消費套餐，贈送「薄切鴨胸」乙份,燒肉、牛肉、吃到飽、午餐、晚餐,最低只要598元起就能燒肉吃到飽，特選牛舌和軟Q的橫膈膜以及超長昇龍牛也是必點。自助吧不僅有蔬菜烤物、漬物小菜、日式洋蔥牛丼、韓式拌飯、飲料、DIY聖代也通通任你選。,"24.961866636405404, 121.22727870314459",
25,洋城義大利餐廳-中壢大全聯店,義式,4.7,11:00-22:00,03-416-2898,中北路二段468號B1,"https://www.google.com/maps/place/%E6%B4%8B%E5%9F%8E%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%A4%90%E5%BB%B3-%E4%B8%AD%E5%A3%A2%E5%A4%A7%E5%85%A8%E8%81%AF%E5%BA%97/@24.9541501,121.2346419,17z/data=!3m1!4b1!4m6!3m5!1s0x346823434e89f7b7:0x7b5c0c304acd3230!8m2!3d24.9541501!4d121.2346419!16s%2Fg%2F11ry2r9fpt?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",來店出示學生證或教職員證可享現金九折，刷卡九五折。,義大利麵、燉飯、焗烤、義式、午餐、晚餐,平易近人的價格。主要販售義大利麵、燉飯、焗烤飯麵、比薩等。提供的餐點相當多元，可以選擇單點式升級套餐，吃得非常飽足。,"24.954242508866695, 121.23516761294071",
26,火漂火辣麻辣食堂－泡椒酸菜魚/螺螄粉/酸辣粉/麻辣臭豆腐/麻辣鴨血,中式,4.9,"週日11:30-21:00，其他11:30-14:00, 17:00-21:30(週六公休)",無,實踐路257號,"https://www.google.com/maps/place/%E7%81%AB%E6%BC%82%E7%81%AB%E8%BE%A3%E9%BA%BB%E8%BE%A3%E9%A3%9F%E5%A0%82%EF%BC%8D%E6%B3%A1%E6%A4%92%E9%85%B8%E8%8F%9C%E9%AD%9A%2F%E8%9E%BA%E8%9E%84%E7%B2%89%2F%E9%85%B8%E8%BE%A3%E7%B2%89%2F%E9%BA%BB%E8%BE%A3%E8%87%AD%E8%B1%86%E8%85%90%2F%E9%BA%BB%E8%BE%A3%E9%B4%A8%E8%A1%80/@24.9581959,121.239154,17z/data=!3m1!4b1!4m6!3m5!1s0x346823ea358175a9:0x5c5d52facd5e4153!8m2!3d24.9581959!4d121.239154!16s%2Fg%2F11tnl_6tj0?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.小菜第二份折20元 2.享附餐白飯免費續飯、飲料無限暢飲,螺絲粉、酸辣粉、酸菜魚、麵、午餐、晚餐,主打酸、辣、麻、香等獨特口感。不管是酸辣粉、螺螄粉、臭豆腐鴨血通通有。每一個餐點口味都可以客製化，想要多少麻度、辣度通通都可以挑整，非常友善。,"24.95838557504991, 121.23972262828282",
27,NO.5 CAFE,咖啡廳、輕食,4.6,10:00-18:00,0968-080-026,甘肅二街5號,"https://www.google.com/maps/place/NO.5+CAFE/@24.9530049,121.2349429,17z/data=!3m1!4b1!4m6!3m5!1s0x3468236a6e9557f9:0xc02709ea1337a50e!8m2!3d24.9530049!4d121.2349429!16s%2Fg%2F11wr635ny0?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.凡消費即享9折優惠 2.加入會員首次消費獲得30元優惠卷 3.每次消費滿100元可累積1點，200元累積2點，以此類推（1點可折抵10元，每次消費最高可折5點） (備註：不與其他任何優惠共用）,茶、甜點、咖啡、飲料、輕食、下午茶,店內提供咖啡、飲品、甜點外，也有提供輕食的選項，輕食分量不手軟。,"24.953233492354098, 121.23543642643413",
28,禾果田現打果汁,果汁,5,11:00-23:00(週二公休),0919-130-684,新中北路227號,"https://www.google.com/maps/place/%E7%A6%BE%E6%9E%9C%E7%94%B0%E7%8F%BE%E6%89%93%E6%9E%9C%E6%B1%81/@24.9590834,121.2394393,17z/data=!3m1!4b1!4m6!3m5!1s0x3468230047f8f43f:0x2c4d3b658bf8f3e3!8m2!3d24.9590834!4d121.2394393!16s%2Fg%2F11y5s8l3gv?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",購買3杯飲品即可享有10元優惠（飲品價格不限價位）（備註：不與其他任何優惠共用）,冰沙、果汁、飲料,這裡的果汁真的濃到太誇張，完全沒有加水稀釋過的口感，每一口都是實打實的果肉纖維。如果不想吃水果又想補點營養，這杯絕對是首選。,"24.959331434756738, 121.23939638465791",
